p_gen,cutoff,delta_pct
0.1,4,-40.112353043377546
0.1,6,-10.87811626834496
0.1,8,-3.568579481997558
0.1,10,6.744772597835809
0.1,15,12.710935787858874
0.1,20,21.041143730219364
0.1,30,19.049145299145295
0.1,50,32.63285512224691
0.1,80,57.1973725367532
0.2,4,-3.354838709677424
0.2,6,5.68222946073109
0.2,8,12.08157836399912
0.2,10,11.874696454589609
0.2,15,27.23952738990333
0.2,20,30.946450809464498
0.2,30,34.41714391280252
0.2,50,50.79029071408411
0.2,80,72.44239631336406
0.3,4,-7.41867540369764
0.3,6,8.703312191684281
0.3,8,8.65971972691339
0.3,10,10.918293564714388
0.3,15,26.42903018625562
0.3,20,24.21643022104916
0.3,30,45.0599520383693
0.3,50,62.41897233201582
0.3,80,75.82569259587893
0.4,4,2.813852813852823
0.4,6,15.323383084577122
0.4,8,15.343659244917724
0.4,10,3.3062054933875817
0.4,15,19.13232104121475
0.4,20,33.32128659197688
0.4,30,50.87493566649511
0.4,50,67.10030811365971
0.4,80,46.57217240381834
0.5,4,1.930953774136912
0.5,6,7.5289575289575295
0.5,8,16.858457997698505
0.5,10,11.68364289994009
0.5,15,18.07653575025176
0.5,20,22.020598332515938
0.5,30,5.742821473158552
0.5,50,54.0608428691041
0.5,80,42.49817916970139
0.6,4,1.3552068473609096
0.6,6,5.296610169491525
0.6,8,2.8421839940164473
0.6,10,7.566462167689157
0.6,15,18.336369156041286
0.6,20,35.13266239707228
0.6,30,48.13049853372434
0.6,50,56.12959719789842
0.6,80,79.90302411637106
0.7,4,-1.4774494556765263
0.7,6,2.485966319166002
0.7,8,10.832719233603541
0.7,10,18.360655737704924
0.7,15,13.574351978171897
0.7,20,20.023557126030624
0.7,30,54.47696319907273
0.7,50,47.49283667621777
0.7,80,35.100638193421695
0.8,4,5.483028720626638
0.8,6,6.472491909385105
0.8,8,9.744779582366588
0.8,10,-1.7543859649122762
0.8,15,17.270194986072415
0.8,20,24.896998234255438
0.8,30,51.109570041608876
0.8,50,36.35940409683426
0.8,80,16.067929457870676
0.9,4,3.259827420901245
0.9,6,-16.3350785340314
0.9,8,-7.81078107810782
0.9,10,-1.2785388127853934
0.9,15,-19.7252208047105
0.9,20,-8.436213991769531
0.9,30,-9.74093264248704
0.9,50,-7.658833768494334
0.9,80,51.536643026004725
1.0,4,-47.62500000000001
1.0,6,0.0
1.0,8,0.0
1.0,10,0.0
1.0,15,0.0
1.0,20,0.0
1.0,30,0.0
1.0,50,0.0
1.0,80,0.0
