N,p_gen,p_swap,delta_pct,region
4,0.1,0.1,22.205854180566647,coarse
4,0.1,0.2,43.16363604981316,coarse
4,0.1,0.3,41.97711527983187,coarse
4,0.1,0.4,64.10688805292514,coarse
4,0.1,0.5,51.464927288280585,coarse
4,0.1,0.6,49.57956015523933,coarse
4,0.1,0.7,43.63894218736965,coarse
4,0.1,0.8,47.940427938542754,coarse
4,0.1,0.9,35.807117697072755,coarse
4,0.1,1.0,8.259241927936362,coarse
4,0.2,0.1,33.17993204856856,coarse
4,0.2,0.2,69.39616092013573,coarse
4,0.2,0.3,51.028220421970985,coarse
4,0.2,0.4,61.63703831549879,coarse
4,0.2,0.5,42.51824817518248,coarse
4,0.2,0.6,45.95597645252112,coarse
4,0.2,0.7,48.509207833966684,coarse
4,0.2,0.8,11.308281141266528,coarse
4,0.2,0.9,33.88566694283347,coarse
4,0.2,1.0,44.89019033674963,coarse
4,0.3,0.1,50.278281870863715,coarse
4,0.3,0.2,81.74755680178137,coarse
4,0.3,0.3,41.78553234844625,coarse
4,0.3,0.4,44.463971880492096,coarse
4,0.3,0.5,37.65538945712038,coarse
4,0.3,0.6,40.64503594326792,coarse
4,0.3,0.7,50.808753568030454,coarse
4,0.3,0.8,18.045435062151725,coarse
4,0.3,0.9,30.181175430844004,coarse
4,0.3,1.0,5.579399141630909,coarse
4,0.4,0.1,63.3388769658618,coarse
4,0.4,0.2,87.18018998021397,coarse
4,0.4,0.3,55.51976211126254,coarse
4,0.4,0.4,43.10218978102189,coarse
4,0.4,0.5,44.744976816074185,coarse
4,0.4,0.6,36.96498054474708,coarse
4,0.4,0.7,27.14791851195748,coarse
4,0.4,0.8,16.42335766423358,coarse
4,0.4,0.9,26.01941747572815,coarse
4,0.4,1.0,11.23595505617978,coarse
4,0.5,0.1,70.85306816695015,coarse
4,0.5,0.2,89.37233438890007,coarse
4,0.5,0.3,92.17727995574914,coarse
4,0.5,0.4,63.642978413776376,coarse
4,0.5,0.5,54.4063779357897,coarse
4,0.5,0.6,31.318473743860974,coarse
4,0.5,0.7,25.472238122495703,coarse
4,0.5,0.8,25.581395348837205,coarse
4,0.5,0.9,13.694852941176471,coarse
4,0.5,1.0,31.212381771281173,coarse
4,0.6,0.1,75.67778427930563,coarse
4,0.6,0.2,90.91653325571242,coarse
4,0.6,0.3,94.8564435906208,coarse
4,0.6,0.4,2.9320302087960908,coarse
4,0.6,0.5,44.953325554259045,coarse
4,0.6,0.6,11.409836065573773,coarse
4,0.6,0.7,6.9936421435059,coarse
4,0.6,0.8,25.526742301458672,coarse
4,0.6,0.9,0.0,coarse
4,0.6,1.0,19.221105527638194,coarse
4,0.7,0.1,76.86296121694211,coarse
4,0.7,0.2,92.02507531826689,coarse
4,0.7,0.3,63.206864468107106,coarse
4,0.7,0.4,51.85512367491166,coarse
4,0.7,0.5,43.49873234335386,coarse
4,0.7,0.6,19.363222871994804,coarse
4,0.7,0.7,7.3993471164309,coarse
4,0.7,0.8,-6.010928961748626,coarse
4,0.7,0.9,6.017191977077376,coarse
4,0.7,1.0,3.514938488576453,coarse
4,0.8,0.1,80.87407417230838,coarse
4,0.8,0.2,93.17946454340186,coarse
4,0.8,0.3,95.77153213662228,coarse
4,0.8,0.4,50.482723577235774,coarse
4,0.8,0.5,26.505404014410704,coarse
4,0.8,0.6,10.834132310642367,coarse
4,0.8,0.7,-5.497382198952891,coarse
4,0.8,0.8,-0.45317220543807024,coarse
4,0.8,0.9,0.7168458781362014,coarse
4,0.8,1.0,-1.4925373134328228,coarse
4,0.9,0.1,83.03300718929152,coarse
4,0.9,0.2,95.2038465551979,coarse
4,0.9,0.3,61.79866865914957,coarse
4,0.9,0.4,36.54422788605697,coarse
4,0.9,0.5,16.234198270126413,coarse
4,0.9,0.6,33.96674584323041,coarse
4,0.9,0.7,6.910569105691054,coarse
4,0.9,0.8,2.4647887323943607,coarse
4,0.9,0.9,-5.496828752642701,coarse
4,0.9,1.0,-0.9345794392523372,coarse
4,1.0,0.1,86.48808416801721,coarse
4,1.0,0.2,95.36519254719053,coarse
4,1.0,0.3,60.61327776123847,coarse
4,1.0,0.4,96.77570192777742,coarse
4,1.0,0.5,32.473622508792495,coarse
4,1.0,0.6,9.146341463414624,coarse
4,1.0,0.7,-6.610169491525418,coarse
4,1.0,0.8,0.3676470588235379,coarse
4,1.0,0.9,-4.054054054054047,coarse
4,1.0,1.0,0.0,coarse
4,0.05,0.75,23.54288907516066,inset
4,0.05,0.78,38.20526092889747,inset
4,0.05,0.81,9.672577164837229,inset
4,0.05,0.84,39.07742805228299,inset
4,0.05,0.87,23.969547831436472,inset
